['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170906T101020_74_25'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest']","[2, 5, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171015T095031_11_43'],['Non-irrigated arable land'],[2]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170927T094019_73_14'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub', 'Inland marshes']","[1, 0, 3, 22]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180506T100031_79_42'],"['Discontinuous urban fabric', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[10, 6, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180326T112109_39_75'],"['Sport and leisure facilities', 'Vineyards', 'Fruit trees and berry plantations', 'Annual crops associated with permanent crops']","[24, 20, 25, 21]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171221T112501_1_22'],"['Discontinuous urban fabric', 'Fruit trees and berry plantations', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Mixed forest']","[10, 25, 6, 5, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170905T095031_78_42'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest', 'Water bodies']","[5, 1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180428T095029_8_2'],"['Non-irrigated arable land', 'Vineyards', 'Broad-leaved forest']","[2, 20, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171101T94132_10_47'],"['Broad-leaved forest', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub', 'Water bodies']","[4, 1, 0, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T093019_65_84'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Mixed forest', 'Water bodies']","[5, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170720T100031_83_57'],"['Coniferous forest', 'Mixed forest', 'Moors and heathland', 'Beaches, dunes, sands', 'Sea and ocean']","[1, 0, 23, 31, 9]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170808T094029_16_49'],"['Pastures', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Transitional woodland/shrub']","[7, 6, 5, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T094029_75_31'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170927T094019_57_46'],"['Broad-leaved forest', 'Mixed forest']","[4, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180201T093219_51_34'],"['Broad-leaved forest', 'Transitional woodland/shrub']","[4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180502T093039_78_79'],"['Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[6, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170617T113321_13_19'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Pastures']","[10, 2, 7]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T94161_90_0'],"['Coniferous forest', 'Transitional woodland/shrub', 'Water bodies']","[1, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171219T095409_36_87'],"['Non-irrigated arable land', 'Complex cultivation patterns', 'Mixed forest']","[2, 6, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171016T101009_51_68'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180502T093039_75_40'],"['Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Transitional woodland/shrub']","[6, 5, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171016T101009_70_35'],"['Broad-leaved forest', 'Bare rock', 'Sea and ocean']","[4, 29, 9]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170930T095019_89_0'],"['Coniferous forest', 'Mixed forest']","[1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180201T093219_8_33'],"['Non-irrigated arable land', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[2, 6, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170817T101019_32_90'],"['Non-irrigated arable land', 'Coniferous forest', 'Mixed forest']","[2, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170830T102019_68_65'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171015T104010_6_76'],"['Discontinuous urban fabric', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[10, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171121T112351_75_45'],"['Olive groves', 'Agro-forestry areas', 'Broad-leaved forest']","[16, 11, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171219T095409_11_3'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation']","[2, 5]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T94030_6_5'],"['Coniferous forest', 'Mixed forest', 'Water bodies']","[1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180522T093029_46_15'],"['Broad-leaved forest', 'Coniferous forest', 'Mixed forest', 'Water bodies']","[4, 1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180511T100029_85_17'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180225T114351_25_48'],"['Pastures', 'Coniferous forest']","[7, 1]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T094029_79_88'],"['Broad-leaved forest', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub', 'Water bodies']","[4, 1, 0, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180201T093219_43_20'],"['Broad-leaved forest', 'Transitional woodland/shrub']","[4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T094031_40_10'],['Non-irrigated arable land'],[2]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180318T093031_23_41'],"['Pastures', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Mixed forest']","[7, 5, 4, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170617T113321_46_88'],"['Non-irrigated arable land', 'Pastures']","[2, 7]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180326T112109_77_44'],"['Non-irrigated arable land', 'Agro-forestry areas', 'Sclerophyllous vegetation', 'Transitional woodland/shrub']","[2, 11, 17, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T094029_31_69'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub', 'Water bodies']","[1, 0, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180506T100031_12_44'],"['Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest']","[6, 5, 1]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180510T94032_9_49'],"['Complex cultivation patterns', 'Coniferous forest', 'Transitional woodland/shrub']","[6, 1, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180413T95032_54_49'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171208T093351_50_71'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Broad-leaved forest', 'Coniferous forest', 'Natural grassland', 'Transitional woodland/shrub']","[10, 2, 4, 1, 15, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171201T112431_15_30'],"['Non-irrigated arable land', 'Permanently irrigated land', 'Transitional woodland/shrub']","[2, 13, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180422T093029_33_57'],"['Non-irrigated arable land', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Transitional woodland/shrub']","[2, 6, 5, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T112111_12_23'],['Vineyards'],[20]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170709T094029_42_1'],"['Coniferous forest', 'Transitional woodland/shrub']","[1, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T112112_12_70'],"['Broad-leaved forest', 'Coniferous forest', 'Transitional woodland/shrub']","[4, 1, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170905T095031_29_60'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[2, 5, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180522T093029_16_71'],"['Non-irrigated arable land', 'Broad-leaved forest', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[2, 4, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T93020_74_16'],"['Coniferous forest', 'Mixed forest', 'Water bodies']","[1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180419T101031_35_83'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180413T095031_70_59'],"['Complex cultivation patterns', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[6, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171101T94132_51_72'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest', 'Water bodies']","[5, 1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180508T104031_32_88'],"['Pastures', 'Coniferous forest', 'Mixed forest']","[7, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171221T112501_22_75'],['Agro-forestry areas'],[11]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T94031_10_38'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T94031_14_35'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170808T094029_29_65'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation']","[2, 5]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171221T112501_24_43'],"['Permanently irrigated land', 'Vineyards', 'Olive groves', 'Complex cultivation patterns']","[13, 20, 16, 6]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180527T093041_86_38'],"['Broad-leaved forest', 'Coniferous forest', 'Mixed forest']","[4, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180509T101031_80_78'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T94031_8_5'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[5, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171015T104009_20_47'],"['Discontinuous urban fabric', 'Pastures', 'Complex cultivation patterns', 'Broad-leaved forest', 'Coniferous forest', 'Mixed forest']","[10, 7, 6, 4, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T112109_13_34'],['Continuous urban fabric'],[18]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180219T094031_1_45'],"['Coniferous forest', 'Mixed forest', 'Water bodies']","[1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T112111_43_68'],"['Road and rail networks and associated land', 'Agro-forestry areas', 'Broad-leaved forest']","[28, 11, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171219T095409_40_84'],"['Non-irrigated arable land', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[2, 6, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170808T094029_27_73'],"['Pastures', 'Complex cultivation patterns', 'Broad-leaved forest', 'Coniferous forest']","[7, 6, 4, 1]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T94160_62_1'],"['Broad-leaved forest', 'Coniferous forest', 'Mixed forest', 'Water bodies']","[4, 1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170808T094029_58_70'],"['Non-irrigated arable land', 'Pastures', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Mixed forest']","[2, 7, 6, 5, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170717T113321_90_60'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T112110_10_2'],"['Discontinuous urban fabric', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[10, 6, 5, 4, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170613T101031_86_47'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Mixed forest']","[2, 5, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T112112_75_47'],"['Non-irrigated arable land', 'Pastures', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Agro-forestry areas', 'Broad-leaved forest', 'Transitional woodland/shrub']","[2, 7, 6, 5, 11, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180413T095031_52_25'],"['Pastures', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[7, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170816T095031_80_23'],"['Non-irrigated arable land', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Transitional woodland/shrub']","[2, 6, 5, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180225T114351_13_5'],"['Non-irrigated arable land', 'Pastures', 'Complex cultivation patterns']","[2, 7, 6]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170818T103021_48_26'],"['Discontinuous urban fabric', 'Mineral extraction sites', 'Non-irrigated arable land', 'Pastures', 'Complex cultivation patterns', 'Mixed forest', 'Water courses']","[10, 26, 2, 7, 6, 0, 19]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170613T101031_44_74'],"['Pastures', 'Mixed forest']","[7, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T93022_10_36'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Coniferous forest', 'Mixed forest']","[5, 4, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170704T112111_26_8'],"['Olive groves', 'Annual crops associated with permanent crops', 'Complex cultivation patterns', 'Broad-leaved forest', 'Mixed forest']","[16, 21, 6, 4, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T112112_40_21'],"['Complex cultivation patterns', 'Broad-leaved forest', 'Transitional woodland/shrub']","[6, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180506T100031_46_8'],"['Discontinuous urban fabric', 'Non-irrigated arable land']","[10, 2]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171208T093351_85_31'],"['Discontinuous urban fabric', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[10, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171016T101009_15_33'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170709T094029_77_16'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub', 'Water bodies']","[1, 0, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180511T100029_48_33'],"['Mixed forest', 'Sea and ocean']","[0, 9]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T112109_37_79'],['Continuous urban fabric'],[18]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180413T95032_57_11'],"['Coniferous forest', 'Water bodies']","[1, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170808T094029_46_11'],"['Non-irrigated arable land', 'Pastures', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest']","[2, 7, 6, 5, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170927T094019_8_13'],"['Non-irrigated arable land', 'Complex cultivation patterns', 'Broad-leaved forest']","[2, 6, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180421T100030_21_3'],"['Pastures', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Mixed forest']","[7, 6, 5, 4, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170825T093029_59_52'],['Broad-leaved forest'],[4]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180220T114339_16_49'],['Pastures'],[7]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171101T94132_76_41'],"['Non-irrigated arable land', 'Coniferous forest', 'Mixed forest', 'Water bodies']","[2, 1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170813T112121_90_51'],"['Olive groves', 'Complex cultivation patterns', 'Agro-forestry areas', 'Broad-leaved forest', 'Transitional woodland/shrub']","[16, 6, 11, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180419T101031_71_26'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180527T093041_40_74'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest']","[2, 5, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170802T092029_32_9'],"['Broad-leaved forest', 'Mixed forest', 'Natural grassland', 'Transitional woodland/shrub']","[4, 0, 15, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T94160_18_59'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub', 'Water bodies']","[2, 5, 1, 0, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180521T100029_53_4'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171221T112501_32_64'],"['Broad-leaved forest', 'Mixed forest']","[4, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171221T112501_48_41'],"['Non-irrigated arable land', 'Broad-leaved forest', 'Transitional woodland/shrub']","[2, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170814T100029_55_47'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171015T095031_11_6'],"['Discontinuous urban fabric', 'Non-irrigated arable land']","[10, 2]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T094029_24_76'],"['Coniferous forest', 'Water bodies']","[1, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180223T101019_66_81'],"['Salt marshes', 'Sea and ocean']","[33, 9]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171219T095409_47_49'],"['Complex cultivation patterns', 'Coniferous forest', 'Mixed forest']","[6, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170905T095031_8_44'],"['Discontinuous urban fabric', 'Industrial or commercial units', 'Water bodies']","[10, 14, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180421T114349_2_41'],"['Pastures', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[7, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170923T100019_3_24'],"['Pastures', 'Coniferous forest']","[7, 1]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180421T114349_89_12'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171206T094349_54_79'],"['Complex cultivation patterns', 'Broad-leaved forest', 'Transitional woodland/shrub']","[6, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170709T094029_6_45'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Water bodies']","[5, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T094031_32_27'],"['Broad-leaved forest', 'Transitional woodland/shrub']","[4, 3]"
